Item        ,Part Number,Description,Quantity (PART),Notes,Links,
1,SC0915,Rasberry Pi Pico,1,Micro controller,,
2,MX1A,Cherry MX Switch,~65,Key switches,,
3,SK6812MINI-E,SK6812 MINI-E Reverse Mount,~65,Specifically need reverse mount.,,
4,CPG151101S11,Kaihl Hot Swap Sockets,~65,Not on funding list :(,,
5,1N4148,Diodes,~65,,,
6,N/A,Shine through keycaps,~65,Black,, 
7,EC11,Rotary Encoder,2,,,
8,SSD1306,0.91 in Screen,,,,
9,KCD1-101,Rocker Switch,2,Not on funding list :(,,
10,N/A,330 Ω Resisotor,5,Extras just in case,,
11,N/A,1000 µF Capacitor,5,Extras just in case,,
