Item        ,Part Number,Description,Quantity (PART),Notes,Links,Prices,Total
1,SC0915,Rasberry Pi Pico,1,Micro controller,https://www.aliexpress.us/item/3256805430865417.html?spm=a2g0o.productlist.main.6.2bed145cMBDhMe&algo_pvid=9a475667-1a28-422a-9352-de8d732fe403&algo_exp_id=9a475667-1a28-422a-9352-de8d732fe403-5&pdp_ext_f=%7B%22order%22%3A%2212349%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.47%212.27%21%21%212.47%212.27%21%402101ca8b17895929947066046e0e76%2112000033762604140%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A69dd5c0a%3Bm03_new_user%3A-29895%3BpisId%3A5000000217788162&curPageLogUid=Mookv4cZU7gI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005617180169%7C_p_origin_prod%3A,$2.50,$56.00
2,MCP23017,GPIO Extender,1,Need one.,https://www.aliexpress.us/item/3256806804890160.html?spm=a2g0o.productlist.main.2.3c20ddDRddDReR&algo_pvid=792b029a-79ed-49f6-8d5d-7f0777b94a8a&algo_exp_id=792b029a-79ed-49f6-8d5d-7f0777b94a8a-1&pdp_ext_f=%7B%22order%22%3A%22140%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.24%212.96%21%21%2161.56%2119.70%21%402101e80b17897515227768331e0e09%2112000038973053338%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A4d6e4c68%3Bm03_new_user%3A-29895&curPageLogUid=DZaA1o03SMNm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006991204912%7C_p_origin_prod%3A,$3,
3,KY040,Rotary Encoder,2,,https://www.aliexpress.us/item/3256807457768762.html?spm=a2g0o.productlist.main.2.6db72f4fIBCJ3H&algo_pvid=6db927b7-4ccc-4e2f-ab0f-df4b082f35c6&algo_exp_id=6db927b7-4ccc-4e2f-ab0f-df4b082f35c6-1&pdp_ext_f=%7B%22order%22%3A%224480%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.59%211.43%21%21%211.59%211.43%21%402101ea8f17898630667067377e0c2b%2112000041630839412%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A899f86d9%3Bm03_new_user%3A-29895%3BpisId%3A5000000217788162&curPageLogUid=t58zUy8mymUw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007644083514%7C_p_origin_prod%3A,$2,
4,SSD1306,0.91 in Screen,1,,https://www.aliexpress.us/item/2251832650376908.html?gatewayAdapt=glo2usa4itemAdapt,$1,
5,SK6812MINI-E,SK6812 MINI-E Reverse Mount,66,Specifically need reverse mount.,https://www.aliexpress.us/item/3256805007401420.html?spm=a2g0o.productlist.main.1.65596adfZSOn7A&algo_pvid=0796dce1-601c-4867-b3de-5a31997a6ec0&algo_exp_id=0796dce1-601c-4867-b3de-5a31997a6ec0-0&pdp_ext_f=%7B%22order%22%3A%22390%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.56%215.74%21%21%2143.68%2138.19%21%40210328c017898636498444573e0dda%2112000032072424635%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A69dd5c0a%3Bm03_new_user%3A-29895%3BpisId%3A5000000217788162&curPageLogUid=upbCtOLX31bt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005193716172%7C_p_origin_prod%3A,$6.00,
6,CPG151101S11,Kaihl Hot Swap Sockets,66,"Type 1, 70 count.",https://www.aliexpress.us/item/3256811824772840.html?spm=a2g0o.productlist.main.8.7343tj8Dtj8Dyr&algo_pvid=44782984-0afd-4f64-b3b5-ad5e76ed2781&algo_exp_id=44782984-0afd-4f64-b3b5-ad5e76ed2781-7&pdp_ext_f=%7B%22order%22%3A%223502%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005012011087592%22%2C%22orig_item_id%22%3A%221005008954571807%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.05%217.93%21%21%21107.26%2152.96%21%402101ca9517879684795486574e0e06%2112000057272683073%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210913316&curPageLogUid=uZFKQI2YgP81&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012011087592%7C_p_origin_prod%3A1005008954571807,$12,
7,1N4148,Diodes,66,,https://www.aliexpress.us/item/3256802064723285.html?spm=a2g0o.productlist.main.8.1831648do4VpcA&aem_p4p_detail=2026082818520312674803141422100001211592&algo_pvid=68301e10-c475-4905-be11-bec3820636a3&algo_exp_id=68301e10-c475-4905-be11-bec3820636a3-7&pdp_ext_f=%7B%22order%22%3A%2261%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.11%211.97%21%21%212.11%211.97%21%40210328df17879683235937000e0cb8%2112000019655881022%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63dde8bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000210913316&curPageLogUid=Gxkmaeu7bYkX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002251038037%7C_p_origin_prod%3A&search_p4p_id=2026082818520312674803141422100001211592_2&_gl=1*gamdrq*_gcl_aw*R0NMLjE3ODY0MDY0NjguQ2owS0NRanc3ZVhUQmhEQkFSSXNBS0YtdzQ1MU0yT1BLLW9BZE1pVmU2Vl9GcWpyTnVEVkc4VlhrbWFvWjFNdWVaNDdjazJuVFc4SWFCQWFBdjNoRUFMd193Y0I.*_gcl_au*MTUxNjU2NDIzNy4xNzg1OTUwNzky*_ga*NjMzMjU4NDYxLjE3ODY4MzU0MTg.*_ga_VED1YSGNC7*czE3ODc5NjgzMjYkbzIkZzAkdDE3ODc5NjgzMjYkajYwJGwwJGgw,$2,
8,N/A,Ceramic Capacitors,2 (0.1uf),,https://www.aliexpress.us/item/3256801723894568.html?spm=a2g0o.productlist.main.4.775d4f40agxJM2&aem_p4p_detail=202609191713045880691057467040001401918&algo_pvid=0fb0e670-4314-44b7-9048-3bc063935ea7&algo_exp_id=0fb0e670-4314-44b7-9048-3bc063935ea7-3&pdp_ext_f=%7B%22order%22%3A%22252%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.48%212.23%21%21%212.48%212.23%21%4021030cd817898631845881359e1049%2112000018092105039%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A69dd5c0a%3Bm03_new_user%3A-29895&curPageLogUid=9Tlkmp6Rhsoe&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001910209320%7C_p_origin_prod%3A&search_p4p_id=202609191713045880691057467040001401918_1,$2,
9,N/A,Metal Film Capcacitor,1 (1000 uf),,,,
10,N/A,Stabilizers,6,"Need 2u, 7u. ",https://www.aliexpress.us/item/2251832678467969.html?spm=a2g0o.productlist.main.9.4eec486fB1ALBm&algo_pvid=642a9f8e-9706-4e08-b38a-20456293ae75&algo_exp_id=642a9f8e-9706-4e08-b38a-20456293ae75-8&pdp_ext_f=%7B%22order%22%3A%22375%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.21%210.99%21%21%212.21%210.99%21%402103117b17879630330306469e0dfe%2112000033338375135%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2a7766c%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=fb3jAi38iOQQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32864782721%7C_p_origin_prod%3A,$6,
